accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
OR146982.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,416,Laccadive Sea,"Lutjanus argentimaculatus voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR414816.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,393,Bay of Bengal,"Lutjanus argentimaculatus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR440341.1,Scomberomorus commerson,Actinopterygii,COI,674,Indian Ocean,"Scomberomorus commerson voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR123901.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,352,Red Sea,"Galeocerdo cuvier voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_963491,Carcharhinus falciformis,Elasmobranchii,CYTB,850,Western Indian Ocean,"Carcharhinus falciformis voucher specimen from Western Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR469435.1,Rhynchobatus djiddensis,Elasmobranchii,COI,693,Gulf of Oman,"Rhynchobatus djiddensis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR700815.1,Sarda orientalis,Actinopterygii,12S rRNA,409,Western Indian Ocean,"Sarda orientalis voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR947049.1,Chaetodon pictus,Actinopterygii,COI,692,Arabian Sea,"Chaetodon pictus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR153630.1,Lutjanus argentimaculatus,Actinopterygii,COI,644,Arabian Sea,"Lutjanus argentimaculatus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR239613.1,Lethrinus nebulosus,Actinopterygii,COI,680,Red Sea,"Lethrinus nebulosus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR371281.1,Katsuwonus pelamis,Actinopterygii,COI,640,Gulf of Oman,"Katsuwonus pelamis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR605147.1,Epinephelus coioides,Actinopterygii,COI,644,Arabian Sea,"Epinephelus coioides voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR163059.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,448,Red Sea,"Lutjanus argentimaculatus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR127040.1,Mobula alfredi,Elasmobranchii,16S rRNA,516,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_792629,Lutjanus argentimaculatus,Actinopterygii,COI,627,Arabian Sea,"Lutjanus argentimaculatus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR870516.1,Scomberomorus commerson,Actinopterygii,COI,690,Gulf of Oman,"Scomberomorus commerson voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR908387.1,Nemipterus japonicus,Actinopterygii,COI,640,Indian Ocean,"Nemipterus japonicus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR795167.1,Lutjanus argentimaculatus,Actinopterygii,16S rRNA,528,Laccadive Sea,"Lutjanus argentimaculatus voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR367079.1,Sarda orientalis,Actinopterygii,COI,639,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR914911.1,Taeniura lymma,Elasmobranchii,CYTB,823,Western Indian Ocean,"Taeniura lymma voucher specimen from Western Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR629872.1,Pempheris rhomboidea,Actinopterygii,COI,611,Western Indian Ocean,"Pempheris rhomboidea voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR442769.1,Rastrelliger kanagurta,Actinopterygii,16S rRNA,572,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR383712.1,Taeniura lymma,Elasmobranchii,COI,640,Gulf of Oman,"Taeniura lymma voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR619383.1,Rastrelliger kanagurta,Actinopterygii,COI,628,Bay of Bengal,"Rastrelliger kanagurta voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_428016,Rastrelliger kanagurta,Actinopterygii,COI,711,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR270652.1,Pampus argenteus,Actinopterygii,16S rRNA,598,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR410278.1,Taeniura lymma,Elasmobranchii,COI,642,Gulf of Oman,"Taeniura lymma voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR485365.1,Galeocerdo cuvier,Elasmobranchii,16S rRNA,578,Laccadive Sea,"Galeocerdo cuvier voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR380076.1,Taeniura lymma,Elasmobranchii,16S rRNA,571,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR331245.1,Taeniura lymma,Elasmobranchii,COI,645,Gulf of Oman,"Taeniura lymma voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR987434.1,Lutjanus argentimaculatus,Actinopterygii,Control Region,845,Gulf of Oman,"Lutjanus argentimaculatus voucher specimen from Gulf of Oman Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR677166.1,Lethrinus nebulosus,Actinopterygii,CYTB,991,Indian Ocean,"Lethrinus nebulosus voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR510969.1,Thunnus albacares,Actinopterygii,COI,659,Laccadive Sea,"Thunnus albacares voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR697758.1,Scomberomorus commerson,Actinopterygii,COI,653,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_516554,Katsuwonus pelamis,Actinopterygii,16S rRNA,535,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR789325.1,Katsuwonus pelamis,Actinopterygii,12S rRNA,421,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR775524.1,Galeocerdo cuvier,Elasmobranchii,CYTB,807,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR558219.1,Epinephelus coioides,Actinopterygii,Control Region,1024,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR978977.1,Rhynchobatus djiddensis,Elasmobranchii,COI,607,Western Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR594588.1,Mobula alfredi,Elasmobranchii,COI,682,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR873250.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,410,Bay of Bengal,"Carcharhinus falciformis voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR422556.1,Sphyrna lewini,Elasmobranchii,CYTB,838,Bay of Bengal,"Sphyrna lewini voucher specimen from Bay of Bengal CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR602116.1,Lethrinus nebulosus,Actinopterygii,COI,680,Red Sea,"Lethrinus nebulosus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR138513.1,Rhynchobatus djiddensis,Elasmobranchii,Control Region,1028,Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_295494,Chaetodon pictus,Actinopterygii,COI,621,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR240479.1,Pampus argenteus,Actinopterygii,COI,706,Laccadive Sea,"Pampus argenteus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR122991.1,Lutjanus argentimaculatus,Actinopterygii,COI,655,Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR689171.1,Epinephelus coioides,Actinopterygii,16S rRNA,534,Bay of Bengal,"Epinephelus coioides voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR271937.1,Katsuwonus pelamis,Actinopterygii,COI,631,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR446448.1,Lethrinus nebulosus,Actinopterygii,COI,665,Red Sea,"Lethrinus nebulosus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR535924.1,Rhynchobatus djiddensis,Elasmobranchii,COI,674,Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR489148.1,Taeniura lymma,Elasmobranchii,Control Region,803,Indian Ocean,"Taeniura lymma voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR194739.1,Pempheris rhomboidea,Actinopterygii,COI,656,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR441854.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,424,Western Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_772889,Epinephelus coioides,Actinopterygii,COI,607,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR240486.1,Carcharhinus limbatus,Elasmobranchii,COI,697,Gulf of Oman,"Carcharhinus limbatus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR868497.1,Carcharhinus falciformis,Elasmobranchii,16S rRNA,542,Western Indian Ocean,"Carcharhinus falciformis voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR787824.1,Lethrinus nebulosus,Actinopterygii,Control Region,817,Gulf of Oman,"Lethrinus nebulosus voucher specimen from Gulf of Oman Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR825135.1,Katsuwonus pelamis,Actinopterygii,COI,616,Western Indian Ocean,"Katsuwonus pelamis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR798456.1,Sphyrna lewini,Elasmobranchii,COI,614,Bay of Bengal,"Sphyrna lewini voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR159809.1,Pempheris rhomboidea,Actinopterygii,Control Region,966,Red Sea,"Pempheris rhomboidea voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR680886.1,Sphyrna lewini,Elasmobranchii,12S rRNA,362,Indian Ocean,"Sphyrna lewini voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR185480.1,Katsuwonus pelamis,Actinopterygii,COI,670,Red Sea,"Katsuwonus pelamis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR278663.1,Pampus argenteus,Actinopterygii,Control Region,877,Gulf of Oman,"Pampus argenteus voucher specimen from Gulf of Oman Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_297155,Sarda orientalis,Actinopterygii,COI,626,Gulf of Oman,"Sarda orientalis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR509815.1,Lethrinus nebulosus,Actinopterygii,COI,666,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR913322.1,Lutjanus argentimaculatus,Actinopterygii,16S rRNA,504,Arabian Sea,"Lutjanus argentimaculatus voucher specimen from Arabian Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR534139.1,Taeniura lymma,Elasmobranchii,COI,644,Laccadive Sea,"Taeniura lymma voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR367491.1,Thunnus albacares,Actinopterygii,COI,695,Western Indian Ocean,"Thunnus albacares voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR724863.1,Mobula alfredi,Elasmobranchii,COI,659,Bay of Bengal,"Mobula alfredi voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR995941.1,Pempheris rhomboidea,Actinopterygii,12S rRNA,406,Laccadive Sea,"Pempheris rhomboidea voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR671989.1,Sardinella longiceps,Actinopterygii,16S rRNA,545,Western Indian Ocean,"Sardinella longiceps voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR637774.1,Nemipterus japonicus,Actinopterygii,COI,603,Red Sea,"Nemipterus japonicus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR691183.1,Carcharhinus limbatus,Elasmobranchii,COI,654,Laccadive Sea,"Carcharhinus limbatus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_299820,Rhynchobatus djiddensis,Elasmobranchii,COI,625,Bay of Bengal,"Rhynchobatus djiddensis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR795721.1,Carcharhinus falciformis,Elasmobranchii,COI,709,Western Indian Ocean,"Carcharhinus falciformis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR896858.1,Pampus argenteus,Actinopterygii,12S rRNA,419,Laccadive Sea,"Pampus argenteus voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR453197.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,353,Bay of Bengal,"Carcharhinus limbatus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR141467.1,Galeocerdo cuvier,Elasmobranchii,COI,640,Red Sea,"Galeocerdo cuvier voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR941985.1,Nemipterus japonicus,Actinopterygii,COI,667,Western Indian Ocean,"Nemipterus japonicus voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR641710.1,Sphyrna lewini,Elasmobranchii,CYTB,848,Indian Ocean,"Sphyrna lewini voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR146958.1,Taeniura lymma,Elasmobranchii,12S rRNA,396,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR286305.1,Thunnus albacares,Actinopterygii,COI,604,Gulf of Oman,"Thunnus albacares voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR142965.1,Epinephelus coioides,Actinopterygii,COI,629,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_205165,Galeocerdo cuvier,Elasmobranchii,COI,684,Bay of Bengal,"Galeocerdo cuvier voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR670133.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,367,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR822411.1,Nemipterus japonicus,Actinopterygii,COI,605,Bay of Bengal,"Nemipterus japonicus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR552492.1,Galeocerdo cuvier,Elasmobranchii,Control Region,952,Bay of Bengal,"Galeocerdo cuvier voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR962845.1,Sphyrna lewini,Elasmobranchii,12S rRNA,351,Arabian Sea,"Sphyrna lewini voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR782696.1,Mobula alfredi,Elasmobranchii,COI,679,Arabian Sea,"Mobula alfredi voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR174148.1,Scomberomorus commerson,Actinopterygii,COI,614,Laccadive Sea,"Scomberomorus commerson voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR569016.1,Scomberomorus commerson,Actinopterygii,12S rRNA,419,Red Sea,"Scomberomorus commerson voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR624712.1,Sarda orientalis,Actinopterygii,COI,610,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR418675.1,Sardinella longiceps,Actinopterygii,12S rRNA,441,Indian Ocean,"Sardinella longiceps voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_543711,Epinephelus coioides,Actinopterygii,12S rRNA,382,Bay of Bengal,"Epinephelus coioides voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR514457.1,Taeniura lymma,Elasmobranchii,12S rRNA,421,Arabian Sea,"Taeniura lymma voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR960430.1,Chaetodon pictus,Actinopterygii,COI,649,Red Sea,"Chaetodon pictus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR590041.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,382,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR522248.1,Sphyrna lewini,Elasmobranchii,COI,630,Arabian Sea,"Sphyrna lewini voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR717240.1,Katsuwonus pelamis,Actinopterygii,CYTB,864,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR451986.1,Pampus argenteus,Actinopterygii,12S rRNA,409,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR203040.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,350,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR496197.1,Sarda orientalis,Actinopterygii,COI,702,Arabian Sea,"Sarda orientalis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR838185.1,Taeniura lymma,Elasmobranchii,Control Region,931,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_275715,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,396,Western Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR695144.1,Epinephelus coioides,Actinopterygii,COI,654,Red Sea,"Epinephelus coioides voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR363222.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,382,Laccadive Sea,"Rhynchobatus djiddensis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR826622.1,Galeocerdo cuvier,Elasmobranchii,16S rRNA,519,Laccadive Sea,"Galeocerdo cuvier voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR445186.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,350,Red Sea,"Carcharhinus falciformis voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR259489.1,Pempheris rhomboidea,Actinopterygii,16S rRNA,514,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR667577.1,Carcharhinus falciformis,Elasmobranchii,COI,607,Indian Ocean,"Carcharhinus falciformis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR924230.1,Thunnus albacares,Actinopterygii,12S rRNA,360,Western Indian Ocean,"Thunnus albacares voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR291409.1,Sarda orientalis,Actinopterygii,COI,709,Arabian Sea,"Sarda orientalis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR741146.1,Mobula alfredi,Elasmobranchii,12S rRNA,448,Red Sea,"Mobula alfredi voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_907408,Carcharhinus limbatus,Elasmobranchii,COI,704,Bay of Bengal,"Carcharhinus limbatus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR643978.1,Sardinella longiceps,Actinopterygii,12S rRNA,392,Red Sea,"Sardinella longiceps voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR270963.1,Lethrinus nebulosus,Actinopterygii,Control Region,1092,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR407585.1,Sarda orientalis,Actinopterygii,16S rRNA,557,Laccadive Sea,"Sarda orientalis voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR630713.1,Pampus argenteus,Actinopterygii,COI,695,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR322505.1,Pampus argenteus,Actinopterygii,16S rRNA,551,Western Indian Ocean,"Pampus argenteus voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR389925.1,Pampus argenteus,Actinopterygii,CYTB,814,Arabian Sea,"Pampus argenteus voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR858108.1,Rhynchobatus djiddensis,Elasmobranchii,COI,650,Arabian Sea,"Rhynchobatus djiddensis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR755701.1,Sarda orientalis,Actinopterygii,COI,651,Indian Ocean,"Sarda orientalis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR813549.1,Sarda orientalis,Actinopterygii,12S rRNA,445,Arabian Sea,"Sarda orientalis voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_688330,Mobula alfredi,Elasmobranchii,COI,694,Western Indian Ocean,"Mobula alfredi voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR486765.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,362,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR254152.1,Sardinella longiceps,Actinopterygii,COI,652,Bay of Bengal,"Sardinella longiceps voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR215558.1,Thunnus albacares,Actinopterygii,COI,646,Indian Ocean,"Thunnus albacares voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR351562.1,Galeocerdo cuvier,Elasmobranchii,COI,622,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR632131.1,Nemipterus japonicus,Actinopterygii,COI,675,Laccadive Sea,"Nemipterus japonicus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR284355.1,Mobula alfredi,Elasmobranchii,COI,661,Laccadive Sea,"Mobula alfredi voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR757769.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,394,Red Sea,"Rhynchobatus djiddensis voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR313133.1,Chaetodon pictus,Actinopterygii,COI,703,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR391254.1,Galeocerdo cuvier,Elasmobranchii,COI,679,Indian Ocean,"Galeocerdo cuvier voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_636516,Pempheris rhomboidea,Actinopterygii,12S rRNA,374,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR603768.1,Galeocerdo cuvier,Elasmobranchii,COI,629,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR896872.1,Taeniura lymma,Elasmobranchii,COI,648,Western Indian Ocean,"Taeniura lymma voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR428901.1,Pempheris rhomboidea,Actinopterygii,COI,717,Indian Ocean,"Pempheris rhomboidea voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR319455.1,Scomberomorus commerson,Actinopterygii,COI,659,Red Sea,"Scomberomorus commerson voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
